commit	ies_score	structural	validated	convention	unguarded	lines_delta	tests	status	description
2c1ab40a	0.4103	0	7	1	5	19 files changed, 1292 insertions(+)	-1	keep	port bounds validation + Phase 0 artifacts
f7144b03	0.5128	0	9	1	3	 3 files changed, 14 insertions(+)	-1	keep	sort volume and cloud bucket mounts
1a1d0196	0.5641	0	10	1	2	 3 files changed, 22 insertions(+), 5 deletions(-)	-1	keep	validate token expiry is in the future
1c3756f0	0.6410	1	10	1	1	 3 files changed, 22 insertions(+)	-1	keep	validate credentials at construction
3bb90df3	0.6667	1	11	1	0	 3 files changed, 32 insertions(+), 6 deletions(-)	-1	keep	reject nil secrets
3f3a5e73	0.6923	1	12	0	0	 3 files changed, 33 insertions(+), 4 deletions(-)	-1	keep	warn on zero timeout default
98942d31	0.7179	2	11	0	0	 3 files changed, 54 insertions(+), 15 deletions(-)	-1	keep	sync.Once for Close
e01e69a3	0.7436	3	10	0	0	 3 files changed, 52 insertions(+)	-1	keep	ParseServerURL for scheme validation
2e74ee16	0.7692	4	9	0	0	 3 files changed, 65 insertions(+), 11 deletions(-)	-1	keep	NewFutureExpiry constructor
e26c702b	0.7949	5	8	0	0	 3 files changed, 87 insertions(+), 6 deletions(-)	-1	keep	NetworkAccessMode type
bf34500c	0.8205	6	7	0	0	 3 files changed, 80 insertions(+), 3 deletions(-)	-1	keep	CPUCores validated type
faa2ce99	0.8462	7	6	0	0	 3 files changed, 81 insertions(+), 3 deletions(-)	-1	keep	PositiveMemory validated type
