commit	ies_score	structural	validated	convention	unguarded	lines_delta	tests	status	description
12a360f6	0.2000	0	1	4	5	1 file changed, 2 insertions(+), 1 deletion(-)	-1	keep	grpc_status_safety 1→2: .get() fallback
d26a925f	0.2333	0	2	3	5	1 file changed, 1 insertion(+)	-1	keep	unhydrate_flag_consistency 1→2: reset _is_rehydrated
5837482d	0.2667	0	3	2	5	1 file changed, 1 insertion(+), 1 deletion(-)	-1	keep	prefix_validation 1→2: consistent prefix+dash
9590c4a9	0.3333	0	4	2	4	1 file changed, 2 insertions(+), 2 deletions(-)	-1	keep	init_from_other_guard 0→2: property guards
e3bdc176	0.4000	0	5	2	3	1 file changed, 4 insertions(+)	-1	keep	prefix_collision 0→2: collision check
discarded	0.3667	0	4	2	4	1 file changed, 1 insertion(+), 1 deletion(-)	-1	discard	deser_version_detect: getattr 3-arg form not detected by harness
37f31ce7	0.4667	0	5	2	3	1 file changed, 10 insertions(+)	-1	keep	client_close_guard 0→2: closed guards on 5/6 methods
abe3f14a	0.5000	1	5	1	3	1 file changed, 10 insertions(+), 10 deletions(-)	-1	keep	prefix_validation 2→3: shared _validate_prefix
af590c6b	0.5667	1	6	1	2	1 file changed, 4 insertions(+)	-1	keep	volume_path_validation 0→2: PurePosixPath normalization
1b523749	0.6000	1	6	1	2	1 file changed, 3 insertions(+)	-1	keep	rehydration_atomicity 0→1: documented race
13901872	0.6667	2	6	0	2	1 file changed, 20 insertions(+), 20 deletions(-)	-1	keep	rehydration_atomicity 1→3: asyncio.Lock
6ca34e1c	0.7000	2	7	0	1	1 file changed, 3 insertions(+), 4 deletions(-)	-1	keep	deser_version_detect 1→2: exc.name attribute
c7655e22	0.7333	2	8	0	0	1 file changed, 11 insertions(+)	-1	keep	pickle_version_tracking 1→2: protocol check
a53668d5	0.7667	3	7	0	0	1 file changed, 3 insertions(+), 1 deletion(-)	-1	keep	prefix_collision 2→3: frozenset uniqueness
3cd29d1c	0.8000	4	6	0	0	1 file changed, 13 insertions(+), 1 deletion(-)	-1	keep	init_from_other_guard 2→3: HydratedObject Protocol
80bdb9ba	0.8333	5	5	0	0	1 file changed, 14 insertions(+), 2 deletions(-)	-1	keep	client_close_guard 2→3: closed_guard decorator
c267e0ad	0.8667	6	4	0	0	1 file changed, 25 insertions(+), 1 deletion(-)	-1	keep	grpc_status_safety 2→3: match statement
b17c62dc	0.9000	7	3	0	0	1 file changed, 8 insertions(+), 4 deletions(-)	-1	keep	volume_path_validation 2→3: VolumePath NewType
da71631a	0.9333	8	2	0	0	1 file changed, 8 insertions(+)	-1	keep	unhydrate_flag_consistency 2→3: HydrationState enum
